StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q42_2,Q42_3,Q42_4,Q42_5,Q59_1,Q1_1,Q1_2,Q1_3,Q30,Q13,Q7_1,Q7_2,Q8_1,Q8_2,Q54,userid,mTurkCode
2017-08-03 17:56:13,2017-08-03 17:56:27,IP Address,69.166.45.107,25,13,False,2017-08-10 17:56:38,R_2U5VKrlMosNwWXX,,,,,,,anonymous,EN,1,1,1,1,0.01,,,,,,,,,,,wvs66q9x,1026203
2017-08-17 18:00:02,2017-08-17 18:01:10,IP Address,24.211.11.124,100,67,True,2017-08-17 18:01:10,R_1dgnLGk1NyHDmAm,,,,,43.32080078125,-88.031402587891,anonymous,EN,2,2,2,1,0.5,40,data entry,USA,Female,$1.00,Neither agree nor disagree,Strongly agree,Some experience,No experience at all,No,bfw3o7va,6807217
2017-08-17 18:00:30,2017-08-17 18:01:40,IP Address,205.153.204.1,100,70,True,2017-08-17 18:01:41,R_3dYff4zlvXypSF7,,,,,42.444000244141,-122.1741027832,anonymous,EN,1,1,1,1,0.5,43,Patient account rep,American,Male,$1.00,Neither agree nor disagree,Strongly agree,Some experience,No experience at all,No,md6immh8,8515978
2017-08-17 18:00:05,2017-08-17 18:01:46,IP Address,79.130.161.108,100,100,True,2017-08-17 18:01:47,R_1F7VYxDEcDz3a3T,,,,,37.966705322266,23.716705322266,anonymous,EN,1,1,1,2,0.4,18,Self-employed,Greek,Male,$1.00,Somewhat agree,Strongly agree,Lower than average,Some experience,Yes,x681qu0x,5821647
2017-08-17 18:01:31,2017-08-17 18:02:22,IP Address,68.114.220.220,100,50,True,2017-08-17 18:02:23,R_1N8F8XB0QjCgND5,,,,,43.194595336914,-89.202499389648,anonymous,EN,1,5,2,1,0.5,41,chargeback specialist,American,Male,$1.00,Strongly agree,Strongly agree,No experience at all,No experience at all,No,i70ro8bw,7188868
2017-08-17 18:00:43,2017-08-17 18:02:24,IP Address,108.88.175.151,100,100,True,2017-08-17 18:02:25,R_Ap6V114NJ2Ckr6N,,,,,42.503799438477,-83.476402282715,anonymous,EN,5,3,2,1,0.55,,,,,$1.00,Somewhat agree,Strongly agree,Some experience,Some experience,No,ajsgfz60,4083247
2017-08-17 18:00:02,2017-08-17 18:02:34,IP Address,104.229.26.131,100,151,True,2017-08-17 18:02:35,R_1fl3jrl7l7GfLSc,,,,,43.11540222168,-77.557601928711,anonymous,EN,3,7,0,0,0.5,28,Game Developer,USA,Male,$1.00,Strongly agree,Strongly agree,No experience at all,No experience at all,No,pw44vr85,6882573
2017-08-17 18:00:44,2017-08-17 18:02:35,IP Address,107.204.201.212,100,110,True,2017-08-17 18:02:35,R_1Kvjqocd5X3bSSQ,,,,,34.272994995117,-119.16299438477,anonymous,EN,2,3,1,0,0.5,30,"Sommelier ",US,Female,$1.00,Strongly agree,Strongly agree,Some experience,Some experience,No,c7xb3pop,371118
2017-08-17 18:00:31,2017-08-17 18:03:20,IP Address,68.109.120.224,100,169,True,2017-08-17 18:03:21,R_5cMsk42ggEZIj2p,,,,,41.587707519531,-71.462303161621,anonymous,EN,25,30,10,5,1,19,Student,United States,Male,$1.00,Somewhat agree,Strongly agree,No experience at all,No experience at all,No,agku1j95,74378
2017-08-17 18:01:31,2017-08-17 18:03:26,IP Address,173.88.8.208,100,115,True,2017-08-17 18:03:27,R_sCiJ43NVdOW71GV,,,,,40.733093261719,-84.144599914551,anonymous,EN,5,5,2,3,0.5,56,teacher,American,Female,$1.00,Strongly agree,Strongly agree,No experience at all,No experience at all,No,ktsr7a9u,6415945
2017-08-17 18:02:12,2017-08-17 18:04:18,IP Address,142.196.133.153,100,125,True,2017-08-17 18:04:18,R_1C74wj1bus9e8vd,,,,,28.555297851562,-81.346702575684,anonymous,EN,2,5,2,2,0.5,43,Security Officer,United States,Male,$1.00,Somewhat agree,Strongly agree,Some experience,Higher than average,No,2uru22w3,7594652
2017-08-17 18:02:12,2017-08-17 18:04:21,IP Address,184.167.154.54,100,129,True,2017-08-17 18:04:22,R_3IbPatnpz17vDNs,,,,,42.803497314453,-106.22450256348,anonymous,EN,1,2,0,0,0.5,66,retired meterman,USA,Male,$1.00,Somewhat disagree,Strongly agree,Some experience,Some experience,Yes,l4juhcwz,5304810
2017-08-17 18:03:44,2017-08-17 18:04:29,IP Address,104.12.11.136,100,44,True,2017-08-17 18:04:30,R_11ju1o9KVwb176O,,,,,29.573104858398,-82.407600402832,anonymous,EN,1,3,0,0,0.3,22,Student,USA,Male,$1.00,Somewhat agree,Strongly agree,Some experience,Lower than average,No,sbhd8opz,8574904
2017-08-17 18:02:29,2017-08-17 18:04:36,IP Address,108.233.81.229,100,127,True,2017-08-17 18:04:37,R_1kFz0PyNTmjCFgh,,,,,37.503799438477,-121.52529907227,anonymous,EN,1,3,1,0,0.5,43,Homemaker,American,Female,$1.00,Strongly agree,Strongly agree,No experience at all,Lower than average,No,iemzz80e,3337015
2017-08-17 18:02:29,2017-08-17 18:04:44,IP Address,73.193.136.42,100,135,True,2017-08-17 18:04:45,R_s7KLJZYVaXBX50B,,,,,39.945602416992,-74.555801391602,anonymous,EN,1,4,0,0,0.5,36,Warehouse assistant,,Female,$1.00,Strongly agree,Strongly agree,Some experience,Lower than average,No,70cebnfd,1279004
2017-08-17 18:03:44,2017-08-17 18:05:18,IP Address,67.8.206.68,100,93,True,2017-08-17 18:05:19,R_AppfTCd0vDMEsKt,,,,,28.884094238281,-81.234802246094,anonymous,EN,40,25,25,40,0.5,48,disabled,italian,Female,$1.00,Somewhat agree,Strongly agree,Lower than average,Lower than average,No,jiy9wmoj,8136081
2017-08-17 18:05:16,2017-08-17 18:06:40,IP Address,99.198.243.121,100,84,True,2017-08-17 18:06:41,R_3M6ijoqnzXzn9Ga,,,,,38.904098510742,-94.398002624512,anonymous,EN,5,5,10,5,0.5,18,Clerk,USA,Male,$1.00,Strongly agree,Strongly agree,Higher than average,Higher than average,Yes,xyxm9mlw,4127088
2017-08-17 18:05:57,2017-08-17 18:06:51,IP Address,174.21.72.85,100,54,True,2017-08-17 18:06:52,R_vCE0ZvVWtSqXPhv,,,,,47.382400512695,-122.31379699707,anonymous,EN,9,11,3,2,0.5,30,Product Support,American,Male,$1.00,Strongly disagree,Strongly agree,Some experience,Some experience,No,6wcj9pe1,1002277
2017-08-17 18:06:15,2017-08-17 18:07:12,IP Address,68.32.187.41,100,56,True,2017-08-17 18:07:12,R_2S1UslAL898Qw9M,,,,,42.697296142578,-84.530296325684,anonymous,EN,50,50,10,2,0,37,clerk,black,Female,$1.00,Strongly disagree,Strongly agree,No experience at all,No experience at all,No,6zbl0rd0,9610093
2017-08-17 18:07:20,2017-08-17 18:08:04,IP Address,75.25.130.131,100,43,True,2017-08-17 18:08:04,R_1gwnR4CpBeRqUw6,,,,,37.306106567383,-122.00199890137,anonymous,EN,0.5,0.5,1,1,0.5,33,scientist,US,Male,$1.00,Strongly agree,Strongly agree,Some experience,Some experience,No,r11w5l43,4456496
2017-08-17 18:06:14,2017-08-17 18:09:36,IP Address,50.234.51.132,100,202,True,2017-08-17 18:09:37,R_3rGSIlGUIZbQpUJ,,,,,36.165893554688,-86.784400939941,anonymous,EN,25,40,0,0,1,22,"Student ",American,Female,$1.00,Neither agree nor disagree,Strongly agree,No experience at all,No experience at all,No,90dc1m24,5917948
2017-08-17 18:07:20,2017-08-17 18:10:58,IP Address,108.249.83.98,100,217,True,2017-08-17 18:10:58,R_3m7vNccTTiA1bU0,,,,,32.822906494141,-79.85489654541,anonymous,EN,2,1,1,2,0.42,51,higher education administration,usa,Male,$1.00,Strongly agree,Strongly agree,Lower than average,Lower than average,No,h258dp0w,316878
2017-08-17 18:09:28,2017-08-17 18:11:40,IP Address,85.247.0.84,100,132,True,2017-08-17 18:11:40,R_3M9gK0wN5TjtBHF,,,,,32.63330078125,-16.899993896484,anonymous,EN,1,5,2,0.5,1,33,Designer,Portuguese,Male,$1.00,Strongly disagree,Strongly agree,Lower than average,Lower than average,No,3v6bz0fw,6523879
2017-08-17 18:10:23,2017-08-17 18:11:58,IP Address,49.44.51.185,100,95,True,2017-08-17 18:11:59,R_2Ph88Bbso54iHj2,,,,,18.975006103516,72.825805664062,anonymous,EN,5,3,2,1,0.56,32,Teacher,Indian,Male,$1.00,Somewhat agree,Neither agree nor disagree,Lower than average,Some experience,,b5hmb0yk,2148364
2017-08-17 18:10:52,2017-08-17 18:12:09,IP Address,73.45.98.197,100,77,True,2017-08-17 18:12:09,R_274iYOnffE2gNRM,,,,,42.359497070312,-88.273399353027,anonymous,EN,1,2,1,0,0.5,39,Freelance writer/editor,United States,Female,$1.00,Strongly agree,Strongly agree,Some experience,Some experience,No,en4l7vk0,4719785
2017-08-17 18:10:22,2017-08-17 18:13:25,IP Address,172.6.129.9,100,183,True,2017-08-17 18:13:26,R_3RkgeJvlfrS78dX,,,,,34.039596557617,-118.26609802246,anonymous,EN,0.25,0.25,0.25,0.5,1,44,care provider,black american,Female,$1.00,Neither agree nor disagree,Neither agree nor disagree,No experience at all,No experience at all,,7yont13r,7309463
2017-08-17 18:10:21,2017-08-17 18:13:31,IP Address,76.123.251.55,100,189,True,2017-08-17 18:13:32,R_2CZHXS9vwoCo2Sj,,,,,35.191101074219,-86.161499023438,anonymous,EN,2,8,2,1,1,44,production tech,white,Female,$1.00,Strongly agree,Strongly agree,Some experience,Lower than average,No,50dgnjx2,5390824
2017-08-17 18:10:22,2017-08-17 18:13:47,IP Address,66.87.117.196,100,205,True,2017-08-17 18:13:48,R_VPVgn3ymG8UbSwh,,,,,40.852905273438,-73.913902282715,anonymous,EN,25,10,5,2,0.3,30,Security,American,Male,$1.00,Somewhat disagree,Strongly agree,Some experience,Lower than average,Yes,qqryiinl,6134122
2017-08-17 18:10:52,2017-08-17 18:14:00,IP Address,173.20.13.245,100,188,True,2017-08-17 18:14:02,R_3iwfwyzUEagmsw7,,,,,37.170196533203,-93.329696655273,anonymous,EN,0,1,1,1,0.5,36,laborer,United Statesman,Male,$1.00,Strongly agree,Strongly agree,Some experience,Lower than average,No,x5g12oh9,3934862
2017-08-17 18:00:04,2017-08-17 18:15:43,IP Address,69.246.199.106,100,938,True,2017-08-17 18:15:44,R_3LZ6F4abORUETct,,,,,41.639801025391,-88.106002807617,anonymous,EN,4,3,2,1,1,21,Student,American,Female,$1.00,Strongly agree,Strongly agree,Higher than average,Higher than average,Yes,yfo7tm5t,545964
2017-08-17 18:15:19,2017-08-17 18:16:35,IP Address,108.6.172.195,100,75,True,2017-08-17 18:16:35,R_12sBCdR2go4KUm1,,,,,40.65299987793,-73.714500427246,anonymous,EN,5,5,0,0,0.35,34,Server,German,Female,$1.00,Strongly agree,Strongly agree,No experience at all,No experience at all,Yes,uhwvx91p,9067114
2017-08-17 18:15:20,2017-08-17 18:16:44,IP Address,76.110.52.225,100,83,True,2017-08-17 18:16:44,R_2ZQ4k05zMCDGmth,,,,,27.249801635742,-80.379699707031,anonymous,EN,3,2,3,4,0.5,28,social work,,Female,$1.00,Strongly agree,Strongly agree,No experience at all,Some experience,No,vrslga0y,3847689
2017-08-17 18:15:22,2017-08-17 18:17:33,IP Address,157.50.9.134,100,131,True,2017-08-17 18:17:34,R_bfKAGVL0E2TMJAR,,,,,13.083297729492,80.283294677734,anonymous,EN,20,10,15,25,0.35,28,Cleark,India,Male,$1.00,Somewhat agree,Strongly agree,Higher than average,Some experience,Yes,pe6grr7b,230254
2017-08-17 18:15:21,2017-08-17 18:17:57,IP Address,173.239.199.25,100,156,True,2017-08-17 18:17:58,R_2w7uZd4gB87capA,,,,,40.498092651367,-74.319396972656,anonymous,EN,0,5,0,0,0.5,27,Spray painter,American,Male,$1.00,Strongly agree,Strongly agree,No experience at all,Some experience,Yes,f9ri5luv,6069504
2017-08-17 18:18:22,2017-08-17 18:18:51,IP Address,67.183.210.112,100,29,True,2017-08-17 18:18:52,R_zS9Hz0WIcuDcLWV,,,,,47.940200805664,-122.00619506836,anonymous,EN,20,20,20,20,0.39,27,0,w,Male,$1.00,Neither agree nor disagree,Strongly agree,Higher than average,Some experience,No,yefusggj,6788195
2017-08-17 18:18:21,2017-08-17 18:20:16,IP Address,74.99.71.50,100,114,True,2017-08-17 18:20:17,R_42CjzaDgZ9q8cYp,,,,,36.89289855957,-76.146797180176,anonymous,EN,2,1,0,0,0.5,45,software engineer,US,Male,$1.00,Strongly agree,Strongly agree,Some experience,Some experience,No,gvbe60sh,271950
2017-08-17 18:25:36,2017-08-17 18:27:01,IP Address,65.254.29.2,100,85,True,2017-08-17 18:27:02,R_1f1nWGRwpBDUOXU,,,,,40.882507324219,-72.953300476074,anonymous,EN,5,10,2,2,0.5,24,Office clerk,American,Female,$1.00,Strongly agree,Strongly agree,No experience at all,No experience at all,No,2wtj4shw,6455058
2017-08-17 18:25:36,2017-08-17 18:27:03,IP Address,23.241.77.145,100,86,True,2017-08-17 18:27:04,R_3s5HGjq6pzJPBuB,,,,,34.156799316406,-118.52310180664,anonymous,EN,2,3,1,0,0.5,30,security officer,latino,Male,$1.00,Strongly agree,Strongly agree,No experience at all,Lower than average,No,3aygdhy3,9532617
2017-08-17 18:27:22,2017-08-17 18:28:58,IP Address,73.138.185.205,100,96,True,2017-08-17 18:28:59,R_1rBtC9bAa8CHd9a,,,,,27.371398925781,-80.302001953125,anonymous,EN,25,8,3,5,0.31,28,none,white,Male,$1.10,,,,,,mo77xtxt,6302976
2017-08-17 18:27:22,2017-08-17 18:29:02,IP Address,98.145.14.65,100,99,True,2017-08-17 18:29:02,R_1do6tsFY98p2aXC,,,,,32.77360534668,-115.60220336914,anonymous,EN,0,2,0,0,0.5,21,Student,American,Male,$1.00,Somewhat disagree,Strongly agree,Higher than average,Some experience,No,56zu748p,9306738
2017-08-17 18:30:42,2017-08-17 18:32:06,IP Address,108.171.130.188,100,83,True,2017-08-17 18:32:07,R_31SZA9pIxYKzM3A,,,,,37.751007080078,-97.821998596191,anonymous,EN,2,2,2,2,0.4,28,Finance,USA,Male,$1.00,Neither agree nor disagree,Strongly agree,Higher than average,Extensive experience,No,u2tgfy5m,555642
2017-08-17 18:31:36,2017-08-17 18:33:12,IP Address,73.229.15.54,100,95,True,2017-08-17 18:33:12,R_1N4E5afjiOUzKxD,,,,,39.920501708984,-105.08670043945,anonymous,EN,0.25,1,0,0,0.95,29,laser,american,Male,$1.00,Strongly agree,Strongly agree,No experience at all,No experience at all,No,h0i4ecav,6256564
2017-08-17 18:31:37,2017-08-17 18:35:12,IP Address,68.190.53.18,100,214,True,2017-08-17 18:35:12,R_2VyZBUzdPmwTWrC,,,,,33.024703979492,-83.229598999023,anonymous,EN,50,0,75,100,0.72,31,Work at home,United States,Female,$1.00,Strongly agree,Strongly agree,Higher than average,Extensive experience,Yes,gb557t1n,9400657
2017-08-17 18:35:44,2017-08-17 18:37:44,IP Address,172.112.206.174,100,119,True,2017-08-17 18:37:44,R_2xWuJbPPgbH611z,,,,,33.710998535156,-118.043800354,anonymous,EN,2,3,2,2,0.5,25,Mechanical Engineer,American,Male,$1.00,Strongly disagree,Strongly agree,Some experience,Higher than average,No,yk1330eq,9791256
2017-08-17 18:37:56,2017-08-17 18:39:19,IP Address,107.190.210.83,100,83,True,2017-08-17 18:39:20,R_7Xaah0Fs1jaBjzP,,,,,45.928207397461,-123.70930480957,anonymous,EN,1,1,5,1,0,,,,Male,$1.00,Strongly disagree,Strongly agree,Lower than average,Lower than average,No,s6xnuslq,5300281
2017-08-17 18:41:23,2017-08-17 18:43:38,IP Address,99.100.192.189,100,134,True,2017-08-17 18:43:39,R_24hLPnWdbiXsy8V,,,,,38.581695556641,-90.294998168945,anonymous,EN,5,5,1,2,0.51,42,manager,mexi,Female,$1.00,Somewhat agree,Strongly agree,Lower than average,Lower than average,No,ahoq04hx,4771317
2017-08-17 18:42:04,2017-08-17 18:43:44,IP Address,155.69.191.249,100,100,True,2017-08-17 18:43:45,R_1iqcxaoRtF74e0v,,,,,1.36669921875,103.79998779297,anonymous,EN,20,20,10,3,0.5,25,Student,Malaysian,Female,$1.00,Somewhat agree,Strongly agree,Higher than average,Higher than average,No,kyxa0bq6,6068077
2017-08-17 18:42:02,2017-08-17 18:44:06,IP Address,172.222.97.3,100,124,True,2017-08-17 18:44:07,R_2qBKzonNIDQjOq4,,,,,42.852600097656,-86.12629699707,anonymous,EN,78,80,85,18,0.45,21,Marketing Manager,Asian American,Female,$1.00,Strongly agree,Strongly agree,Some experience,Higher than average,No,61ie764a,969767
2017-08-17 18:43:37,2017-08-17 18:45:00,IP Address,63.152.66.2,100,82,True,2017-08-17 18:45:00,R_1IyFj79CVyJVqQm,,,,,41.910598754883,-91.714202880859,anonymous,EN,3,5,3,3,0,27,Quality Engineer,USA,Female,$1.75,,,,,,dwdeekt6,7302963
2017-08-17 18:41:26,2017-08-17 18:45:21,IP Address,137.97.11.246,100,234,True,2017-08-17 18:45:22,R_1r1jj0KkQCOjrGN,,,,,9.9667053222656,76.233306884766,anonymous,EN,0.1,0.05,0.05,0,0.81,32,Sales Officer,Indian,Female,$1.00,Strongly agree,Strongly agree,Higher than average,Some experience,No,4drep75r,2911582
2017-08-17 18:47:41,2017-08-17 18:49:28,IP Address,157.49.13.138,100,107,True,2017-08-17 18:49:29,R_6r1Y0gLAVZbmstX,,,,,12.983306884766,77.583312988281,anonymous,EN,1,1,0.25,0,0.5,36,Web Developer,Indian,Male,$1.00,Strongly agree,Strongly agree,Some experience,No experience at all,No,16ijrdrf,7593301
2017-08-17 18:47:40,2017-08-17 18:50:17,IP Address,209.140.33.71,100,157,True,2017-08-17 18:50:18,R_1g7uAM5aIlPOWyH,,,,,40.648498535156,-73.933898925781,anonymous,EN,10,12,5,2,0.5,21,Full Time College Student,American (United States),Female,$1.00,Strongly agree,Strongly agree,Higher than average,Higher than average,No,i1yg71jt,2605078
2017-08-17 18:53:51,2017-08-17 18:55:30,IP Address,75.83.95.110,100,99,True,2017-08-17 18:55:31,R_2i2eLyU2r3w3eZb,,,,,34.320999145508,-118.38299560547,anonymous,EN,2,10,2,2,0.97,27,Residential Counselor,USA,Female,$1.00,Strongly agree,Strongly agree,Some experience,Some experience,No,p9vegmlj,9156220
2017-08-17 18:57:53,2017-08-17 18:59:04,IP Address,71.86.173.253,100,70,True,2017-08-17 18:59:05,R_R4X7FHnckIla8vL,,,,,42.538803100586,-88.602203369141,anonymous,EN,10,2,1,1,0.5,29,Technical Support,American,Female,$1.00,Somewhat disagree,Strongly agree,Some experience,Some experience,No,52v4svun,6766233
2017-08-17 18:57:51,2017-08-17 18:59:13,IP Address,64.237.237.247,100,82,True,2017-08-17 18:59:14,R_3lK3d9v7PPm2qZY,,,,,18.393997192383,-65.977897644043,anonymous,EN,50,50,20,10,0.5,30,"Retail ","Puerto Rican ",Male,$1.00,Somewhat disagree,Strongly agree,Some experience,Higher than average,No,qkvyck7d,4042845
2017-08-17 18:58:44,2017-08-17 19:00:08,IP Address,69.26.4.209,100,83,True,2017-08-17 19:00:08,R_3IbCRI24AVzQlou,,,,,46.305099487305,-101.59190368652,anonymous,EN,3,5,0,0,0.5,38,web evaluation,American,Female,$1.00,Strongly disagree,Strongly agree,No experience at all,No experience at all,No,y43ukk73,8477139
2017-08-17 18:58:44,2017-08-17 19:00:16,IP Address,68.34.51.69,100,91,True,2017-08-17 19:00:16,R_2YFIb3WlWxOC7TG,,,,,42.266799926758,-83.856201171875,anonymous,EN,10,5,0,0,0.98,34,unemployed,usa,Male,$1.00,Strongly agree,Strongly agree,Some experience,Lower than average,No,vtctpbro,6786631
2017-08-17 19:05:49,2017-08-17 19:07:17,IP Address,71.185.164.23,100,88,True,2017-08-17 19:07:18,R_2PAqJ87LTGuy1pi,,,,,40.070999145508,-75.125099182129,anonymous,EN,50,10,5,2,0.5,28,customer service,white,Female,$1.00,Strongly agree,Strongly agree,Lower than average,No experience at all,No,7v4zm2b2,6436048
2017-08-17 19:06:47,2017-08-17 19:08:07,IP Address,73.84.50.150,100,80,True,2017-08-17 19:08:08,R_1i83jnRhcygXK0U,,,,,26.021194458008,-80.189498901367,anonymous,EN,6,10,1,1,0.5,22,Student Assistant,African-American,Male,$1.00,Somewhat agree,Strongly agree,No experience at all,No experience at all,No,29h4oang,6631828
2017-08-17 19:06:46,2017-08-17 19:08:12,IP Address,45.49.203.176,100,85,True,2017-08-17 19:08:12,R_2rCNIRRmzgm43dC,,,,,34.100601196289,-118.32749938965,anonymous,EN,2,5,0,0,0.5,24,IT,American,Male,$1.00,Somewhat agree,Strongly agree,Some experience,Some experience,No,hss5907p,4140930
2017-08-17 19:05:49,2017-08-17 19:08:21,IP Address,24.225.125.42,100,151,True,2017-08-17 19:08:22,R_3L1kkF3fqHt2EMH,,,,,48.146392822266,-96.176498413086,anonymous,EN,4,2,1,1,0.5,39,data entry,American,Male,$1.00,Somewhat agree,Strongly agree,Some experience,Lower than average,Yes,72e6jra4,9145702
2017-08-17 19:07:35,2017-08-17 19:09:00,IP Address,71.239.238.33,100,84,True,2017-08-17 19:09:01,R_3rPpuEvVUj3eXwT,,,,,41.759002685547,-88.261497497559,anonymous,EN,2,5,2,1,0.5,24,School Social Worker,American,Female,$1.00,Somewhat agree,Strongly agree,Some experience,Higher than average,No,xow9agya,4657011
2017-08-17 19:08:09,2017-08-17 19:10:12,IP Address,24.18.199.156,100,123,True,2017-08-17 19:10:13,R_XAL8tnp4AYVQW89,,,,,47.479293823242,-121.54299926758,anonymous,EN,5,15,0,0,0.3,41,project manager,white,Female,$1.00,Somewhat agree,Strongly agree,No experience at all,Some experience,No,gcs3j3wt,351733
2017-08-17 19:08:15,2017-08-17 19:11:13,IP Address,196.210.251.202,100,178,True,2017-08-17 19:11:13,R_1N9YEl1bsP9VCxb,,,,,-33.940002441406,25.559997558594,anonymous,EN,0,0.5,0,0,0.5,38,Teacher,Hong Kong,Male,$1.00,Somewhat agree,Strongly agree,Higher than average,Extensive experience,No,6s4c2dmh,8052
2017-08-17 19:17:04,2017-08-17 19:17:57,IP Address,66.227.221.238,100,53,True,2017-08-17 19:17:58,R_2qkqdmkDT7AIQlg,,,,,44.986694335938,-84.639297485352,anonymous,EN,2,5,0,0,0.5,32,police officer,american,Female,$1.00,Strongly agree,Strongly agree,No experience at all,Lower than average,No,1g1t01ti,9930382
